property_type,neighbourhood,city,gps_lat,gps_lon,infra_zone,length_m,width_m,area_m2,num_bedrooms,num_bathrooms,floor_level,shared_wc,has_parking,has_generator,has_water_meter,fiber_internet,security_gate,standby_power_kva,road_frontage_m,shopfront_quality,loading_bay,near_school,near_market,near_hospital,near_highway,near_university,structural_quality,condition_score,build_year,flood_risk,noise_level,title_type,advance_months,estimated_rent
house,nyalla,douala,4.099735,9.756644,IV,13.0,17.0,221.0,4,1,0,0,0,1,1,1,0,0.0,0.0,0,0,0,1,0,1,0,3,4,2017,1,7,occupation,3,199000
office,ngousso,yaounde,3.899258,11.536227,III,13.0,19.0,247.0,0,1,4,0,0,1,1,1,1,20.0,11.0,0,0,0,1,0,0,0,6,5,1991,0,2,occupation,6,848500
office,biyem_assi,yaounde,3.849017,11.492225,V,7.0,14.0,98.0,0,1,2,0,1,0,1,1,0,0.0,16.0,1,0,0,1,1,1,1,9,4,1996,0,3,occupation,1,309500
house,odza,yaounde,3.927465,11.55699,II,20.0,11.0,220.0,4,1,0,1,1,1,1,0,0,0.0,0.0,0,0,1,1,0,0,1,4,6,2008,0,8,occupation,6,279000
house,biyem_assi,yaounde,3.850989,11.489157,III,9.0,14.0,126.0,2,3,0,1,0,0,0,1,0,0.0,0.0,0,0,0,1,0,0,0,10,6,2017,0,10,occupation,2,215500
house,logpom,douala,4.079171,9.723795,I,11.0,11.0,121.0,3,3,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,0,0,4,10,2014,1,4,occupation,3,253500
land,yassa,douala,4.029257,9.77987,II,10.0,6.0,60.0,0,0,0,0,1,0,1,0,1,0.0,0.0,0,0,0,1,1,0,0,4,7,1977,0,1,none,3,10000
land,odza,yaounde,3.926531,11.558313,IV,37.0,29.0,1073.0,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,1,1,1,1,0,3,4,2006,0,7,occupation,6,166500
warehouse,logpom,douala,4.082096,9.722569,V,50.0,28.0,1400.0,0,0,0,0,0,1,1,0,1,0.0,7.0,5,0,0,1,0,0,1,9,4,1987,1,8,foncier,3,618500
apartment,makepe,douala,4.074646,9.733438,II,10.0,5.0,50.0,2,2,1,1,0,0,0,0,1,0.0,0.0,0,0,1,0,0,1,1,9,5,2023,0,7,none,6,182500
house,olembe,yaounde,3.954618,11.49085,IV,17.0,15.0,255.0,5,1,0,1,1,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,9,7,2007,0,7,occupation,3,263000
apartment,ngousso,yaounde,3.890201,11.531574,IV,7.0,8.0,56.0,3,2,4,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,1,4,6,2006,0,6,occupation,1,158500
apartment,ngousso,yaounde,3.896244,11.534759,III,7.0,10.0,70.0,3,1,2,0,1,0,1,0,1,0.0,0.0,0,0,1,1,0,1,0,10,5,2011,0,6,occupation,2,243000
apartment,ekounou,yaounde,3.811039,11.547199,IV,8.0,10.0,80.0,3,2,1,0,0,1,1,1,0,0.0,0.0,0,0,1,0,0,0,0,6,9,1985,0,9,none,1,147500
store,essos,yaounde,3.879186,11.532175,V,6.0,7.0,42.0,0,0,0,0,0,1,1,1,1,0.0,3.0,2,0,1,1,0,1,0,5,8,1990,0,9,foncier,1,113500
land,makepe,douala,4.073744,9.736685,IV,50.0,16.0,800.0,0,0,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,7,9,1996,0,9,occupation,6,148500
studio,omnisport,yaounde,3.873286,11.516389,V,5.0,3.0,15.0,1,1,1,0,0,0,1,0,1,0.0,0.0,0,0,0,0,0,0,0,7,9,1983,1,4,foncier,2,98500
apartment,ndogpassi,douala,4.094444,9.747149,I,8.0,6.0,48.0,3,2,5,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,10,3,1982,1,6,occupation,2,181500
house,bonanjo,douala,4.041394,9.694935,IV,7.0,16.0,112.0,2,2,0,0,0,0,0,0,1,0.0,0.0,0,0,1,1,0,0,0,3,3,1986,0,7,occupation,1,227500
land,biyem_assi,yaounde,3.853519,11.48741,III,17.0,17.0,289.0,0,0,0,0,0,1,1,0,0,0.0,0.0,0,0,1,0,0,1,0,5,9,1997,0,4,foncier,6,95000
store,nkol_foulou,yaounde,3.824469,11.48152,IV,11.0,15.0,165.0,0,1,0,0,1,1,1,0,0,0.0,16.0,0,0,1,1,1,0,1,6,8,1981,1,8,occupation,3,273500
apartment,melen,yaounde,3.914496,11.54169,III,7.0,4.0,28.0,3,2,4,0,1,0,1,1,1,0.0,0.0,0,0,0,1,0,1,0,8,8,2009,1,9,occupation,2,156500
house,bonapriso,douala,4.034066,9.686492,III,12.0,6.0,72.0,3,2,0,0,1,0,1,1,1,0.0,0.0,0,0,1,0,0,0,1,3,7,2016,0,2,occupation,2,369000
land,biyem_assi,yaounde,3.84795,11.491588,III,40.0,28.0,1120.0,0,0,0,0,1,1,1,1,1,0.0,0.0,0,0,0,1,1,1,1,10,5,1988,0,4,occupation,6,231000
office,deido,douala,4.058852,9.714965,II,28.0,13.0,364.0,0,1,3,0,1,1,1,0,0,10.0,18.0,0,0,0,1,1,1,1,7,8,1994,0,8,occupation,1,1364000
house,odza,yaounde,3.929351,11.559157,II,10.0,6.0,60.0,4,2,0,0,0,1,0,0,0,0.0,0.0,0,0,1,0,1,0,0,8,3,1987,0,10,occupation,3,184500
land,yassa,douala,4.027951,9.782891,III,58.0,19.0,1102.0,0,0,0,0,1,1,1,0,1,0.0,0.0,0,0,1,1,1,0,0,10,4,1978,0,3,occupation,1,209000
house,bonapriso,douala,4.031175,9.688846,II,19.0,17.0,323.0,2,1,0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,7,5,1980,0,1,occupation,2,570000
land,essos,yaounde,3.875141,11.528345,II,58.0,26.0,1508.0,0,0,0,0,0,1,1,0,1,0.0,0.0,0,0,0,1,1,0,0,4,6,1994,1,5,occupation,3,246000
apartment,nyalla,douala,4.10218,9.757633,IV,14.0,7.0,98.0,2,1,4,0,0,0,1,1,0,0.0,0.0,0,0,0,1,1,0,1,7,8,2019,0,6,occupation,6,169000
office,nkoldongo,yaounde,3.832569,11.489983,III,16.0,13.0,208.0,0,2,1,0,0,0,1,1,0,0.0,16.0,3,0,0,1,0,1,0,8,10,2020,0,6,occupation,6,699000
house,ngousso,yaounde,3.898096,11.53403,III,7.0,14.0,98.0,4,2,0,0,1,1,1,0,0,0.0,0.0,0,0,1,0,1,1,0,7,10,2014,0,8,foncier,6,314500
office,odza,yaounde,3.92897,11.563242,III,28.0,5.0,140.0,0,1,1,0,1,0,1,1,1,0.0,17.0,1,0,1,0,0,1,0,10,5,1975,0,8,none,3,463500
studio,bastos,yaounde,3.881302,11.516496,IV,4.0,3.0,12.0,1,1,2,0,0,1,0,1,1,0.0,0.0,0,0,1,0,0,1,0,4,9,2002,0,9,occupation,6,165000
studio,nkol_foulou,yaounde,3.81932,11.47784,II,6.0,4.0,24.0,1,1,1,0,1,0,1,0,1,0.0,0.0,0,0,0,0,0,1,1,4,7,1990,0,9,occupation,6,98500
apartment,nlongkak,yaounde,3.863593,11.509391,II,13.0,5.0,65.0,4,1,4,1,1,0,0,0,1,0.0,0.0,0,0,1,1,1,0,0,8,8,1977,0,3,occupation,2,276500
house,bonaberi,douala,4.05305,9.656803,III,6.0,13.0,78.0,3,2,0,0,0,0,0,0,1,0.0,0.0,0,0,1,1,0,1,1,7,6,1986,0,4,foncier,3,184500
store,biyem_assi,yaounde,3.849581,11.488813,III,22.0,13.0,286.0,0,0,0,0,1,1,1,1,1,0.0,4.0,1,0,1,0,1,0,0,5,5,1991,1,7,foncier,2,574000
warehouse,melen,yaounde,3.914056,11.537786,IV,43.0,36.0,1548.0,0,0,0,0,1,0,1,1,1,20.0,7.0,2,1,0,1,0,1,0,6,9,1989,0,10,none,3,878000
house,makepe,douala,4.074789,9.734939,IV,7.0,5.0,35.0,4,1,0,0,0,0,1,0,0,0.0,0.0,0,0,1,0,0,1,1,5,10,1981,0,3,occupation,3,153000
house,bonapriso,douala,4.034138,9.687734,IV,18.0,14.0,252.0,4,2,0,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,1,1,3,8,1982,0,10,foncier,1,450000
apartment,deido,douala,4.0648,9.707523,IV,10.0,8.0,80.0,2,1,3,0,1,0,1,1,1,0.0,0.0,0,0,0,1,1,0,0,5,10,2015,0,6,none,3,225000
studio,akwa,douala,4.051763,9.696627,III,6.0,5.0,30.0,1,1,2,0,0,0,1,1,1,0.0,0.0,0,0,1,1,1,1,1,5,3,2007,1,9,occupation,2,127000
house,bastos,yaounde,3.878346,11.508818,III,9.0,6.0,54.0,3,2,0,1,1,1,1,1,0,0.0,0.0,0,0,0,1,1,0,0,10,8,1998,0,6,foncier,3,396500
apartment,bonanjo,douala,4.049386,9.696386,V,9.0,6.0,54.0,2,2,4,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,4,4,1983,0,6,foncier,2,176000
house,odza,yaounde,3.934184,11.557151,III,6.0,12.0,72.0,3,3,0,0,0,0,1,1,0,0.0,0.0,0,0,1,0,0,1,0,10,4,1979,0,2,none,3,149000
house,nkol_foulou,yaounde,3.818065,11.475349,III,19.0,13.0,247.0,4,1,0,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,0,0,4,6,2017,0,1,foncier,3,314500
apartment,cite_sic,douala,4.064002,9.724785,III,14.0,7.0,98.0,4,2,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,8,6,2020,0,1,occupation,2,238500
house,omnisport,yaounde,3.870431,11.517673,III,14.0,10.0,140.0,2,1,0,0,1,0,1,1,0,0.0,0.0,0,0,0,1,0,1,0,6,5,1981,0,6,foncier,2,327000
house,melen,yaounde,3.909432,11.541171,IV,10.0,7.0,70.0,2,1,0,0,0,1,1,0,1,0.0,0.0,0,0,0,1,0,1,1,3,9,2000,0,7,occupation,2,126500
land,makepe,douala,4.073973,9.730044,III,19.0,7.0,133.0,0,0,0,0,0,0,1,1,0,0.0,0.0,0,0,1,1,0,1,1,8,4,1990,0,4,occupation,1,46500
house,cite_sic,douala,4.063158,9.721815,II,6.0,17.0,102.0,3,3,0,0,0,0,1,1,1,0.0,0.0,0,0,0,1,0,1,0,10,4,2009,0,4,occupation,6,259000
apartment,mvog_mbi,yaounde,3.855524,11.507146,II,7.0,11.0,77.0,3,2,2,0,0,0,1,1,1,0.0,0.0,0,0,0,1,0,0,1,7,10,1978,0,9,foncier,1,267000
house,odza,yaounde,3.928948,11.558015,II,12.0,13.0,156.0,4,1,0,0,1,1,0,0,1,0.0,0.0,0,0,1,1,0,0,0,6,3,2019,0,10,occupation,6,233000
house,bonapriso,douala,4.036353,9.684334,II,10.0,7.0,70.0,4,2,0,0,0,1,1,0,0,0.0,0.0,0,0,1,1,0,1,1,6,9,1980,0,9,none,3,451500
apartment,nyalla,douala,4.10192,9.759809,II,8.0,8.0,64.0,3,2,4,0,0,0,1,1,1,0.0,0.0,0,0,1,0,0,0,0,5,4,1998,0,10,occupation,6,182000
studio,melen,yaounde,3.909079,11.538897,II,7.0,5.0,35.0,1,1,1,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,1,0,10,9,1993,0,10,foncier,3,174000
studio,nkol_foulou,yaounde,3.820315,11.483007,III,4.0,5.0,20.0,1,1,2,0,1,0,1,0,0,0.0,0.0,0,0,1,0,0,1,0,10,8,1982,0,6,foncier,2,131000
apartment,bastos,yaounde,3.880212,11.513267,I,9.0,8.0,72.0,2,2,3,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,3,7,2006,0,3,foncier,6,424500
land,melen,yaounde,3.910955,11.537235,II,52.0,27.0,1404.0,0,0,0,0,0,1,1,1,0,0.0,0.0,0,0,0,1,1,1,1,5,9,1995,0,7,foncier,3,278500
house,logpom,douala,4.079867,9.721008,III,9.0,16.0,144.0,5,3,0,0,1,1,1,0,1,0.0,0.0,0,0,0,0,1,0,0,7,5,2005,0,4,foncier,6,307500
house,bonaberi,douala,4.053162,9.65898,II,18.0,7.0,126.0,6,1,0,0,1,0,1,0,0,0.0,0.0,0,0,1,0,0,1,0,4,7,1977,0,8,occupation,2,253000
apartment,mvog_mbi,yaounde,3.853575,11.502762,III,15.0,11.0,165.0,2,1,2,0,1,0,1,0,0,0.0,0.0,0,0,1,0,0,0,0,7,9,2021,0,6,occupation,6,256500
apartment,cite_sic,douala,4.063437,9.723644,V,8.0,4.0,32.0,3,2,3,1,1,1,0,0,1,0.0,0.0,0,0,1,1,0,0,0,9,8,2016,0,5,none,3,112000
store,omnisport,yaounde,3.872667,11.515538,III,8.0,7.0,56.0,0,0,0,0,1,1,1,0,0,0.0,13.0,0,1,1,0,0,0,0,4,5,2018,0,6,foncier,1,311500
studio,melen,yaounde,3.90819,11.544294,III,8.0,3.0,24.0,1,1,1,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,7,3,1990,1,5,foncier,6,30500
land,bonapriso,douala,4.037463,9.681242,III,41.0,28.0,1148.0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,1,0,1,0,5,7,1975,0,4,none,1,224000
shop,makepe,douala,4.076084,9.736816,II,9.0,5.0,45.0,0,1,1,0,1,0,1,1,1,0.0,12.0,5,0,0,0,0,0,0,5,10,1977,1,2,foncier,1,397500
warehouse,ndogpassi,douala,4.089047,9.744487,III,23.0,32.0,736.0,0,0,0,0,0,1,1,0,0,0.0,18.0,2,0,0,0,0,1,1,6,4,1995,0,8,occupation,3,536000
apartment,nkol_foulou,yaounde,3.816387,11.477933,III,6.0,9.0,54.0,2,1,3,0,0,0,1,0,0,0.0,0.0,0,0,0,1,1,1,0,7,5,1996,0,6,occupation,2,123500
shop,nkol_foulou,yaounde,3.815497,11.478279,IV,4.0,8.0,32.0,0,0,1,0,1,1,1,1,0,0.0,9.0,5,0,1,1,0,1,1,9,5,1990,1,2,foncier,3,246000
studio,essos,yaounde,3.881085,11.528321,III,7.0,6.0,42.0,1,1,2,0,1,0,0,0,1,0.0,0.0,0,0,1,1,0,0,0,5,3,2024,0,10,occupation,2,122000
apartment,nyalla,douala,4.09845,9.758961,I,7.0,6.0,42.0,4,1,2,0,1,1,0,0,0,0.0,0.0,0,0,1,1,0,0,1,8,5,2012,0,5,occupation,2,247000
studio,nkoldongo,yaounde,3.827771,11.483397,I,7.0,4.0,28.0,1,1,0,0,1,1,1,0,1,0.0,0.0,0,0,1,1,0,1,1,9,8,2004,0,7,none,3,198500
house,bastos,yaounde,3.882845,11.516518,III,7.0,15.0,105.0,4,3,0,0,1,0,1,1,1,0.0,0.0,0,0,0,1,0,1,0,10,9,2009,0,10,foncier,2,470500
house,akwa,douala,4.052302,9.700619,III,7.0,10.0,70.0,6,2,0,0,0,0,1,0,1,0.0,0.0,0,0,0,1,0,1,1,6,7,1992,0,8,none,2,321000
apartment,nlongkak,yaounde,3.867273,11.509685,I,13.0,8.0,104.0,5,1,2,0,0,1,0,1,1,0.0,0.0,0,0,1,1,1,1,0,4,3,1997,0,4,occupation,3,386000
house,ekounou,yaounde,3.806555,11.546292,IV,19.0,5.0,95.0,5,2,0,0,1,0,1,0,0,0.0,0.0,0,0,1,1,0,1,0,10,4,1983,0,5,foncier,2,212500
house,akwa,douala,4.043552,9.703098,IV,7.0,14.0,98.0,2,2,0,0,0,1,0,1,0,0.0,0.0,0,0,0,1,0,1,0,8,3,1975,0,10,none,3,201000
house,logpom,douala,4.082459,9.718126,IV,20.0,13.0,260.0,3,1,0,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,6,3,1983,0,9,occupation,6,224000
apartment,akwa,douala,4.044102,9.704811,II,10.0,9.0,90.0,2,1,3,0,0,0,1,0,1,0.0,0.0,0,0,0,0,1,1,0,5,6,2017,0,9,none,3,265500
studio,odza,yaounde,3.925011,11.564618,III,5.0,4.0,20.0,1,1,1,0,1,1,1,0,0,0.0,0.0,0,0,0,1,0,1,1,5,9,1990,0,4,foncier,3,146500
house,ngousso,yaounde,3.899327,11.532471,IV,11.0,8.0,88.0,3,1,0,0,0,1,1,0,0,0.0,0.0,0,0,1,1,1,1,0,4,7,1994,0,10,occupation,6,166000
house,essos,yaounde,3.881137,11.529267,IV,15.0,12.0,180.0,4,1,0,0,1,0,1,0,1,0.0,0.0,0,0,0,1,1,1,0,6,3,1977,0,6,occupation,3,244500
house,odza,yaounde,3.931271,11.557268,III,17.0,17.0,289.0,5,2,0,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,0,0,8,8,1983,0,2,foncier,1,384000
land,ekounou,yaounde,3.810627,11.548914,IV,21.0,27.0,567.0,0,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,1,0,1,0,3,5,1989,0,8,none,6,56000
apartment,logpom,douala,4.080284,9.7163,II,13.0,8.0,104.0,3,1,4,0,1,1,1,0,1,0.0,0.0,0,0,1,1,0,1,1,3,6,1993,1,6,foncier,3,256500
house,ndogpassi,douala,4.086953,9.747693,V,12.0,14.0,168.0,4,1,0,1,1,0,0,1,1,0.0,0.0,0,0,0,1,0,0,1,3,8,2001,0,9,none,6,157500
office,bonapriso,douala,4.03983,9.68686,II,20.0,18.0,360.0,0,2,5,0,0,0,1,1,0,30.0,12.0,1,0,1,1,0,0,1,3,5,1989,0,6,occupation,6,1510000
store,logpom,douala,4.08168,9.724141,III,8.0,18.0,144.0,0,1,0,0,1,1,1,0,0,0.0,13.0,5,1,1,0,0,1,1,10,4,1979,0,3,occupation,2,389500
house,bastos,yaounde,3.881446,11.516318,III,6.0,8.0,48.0,3,2,0,0,1,1,1,0,1,0.0,0.0,0,0,0,0,0,1,1,10,9,1979,1,9,occupation,6,352500
land,ekounou,yaounde,3.813147,11.553118,III,20.0,41.0,820.0,0,0,0,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,0,0,10,8,2013,0,7,occupation,3,173500
house,logpom,douala,4.080138,9.715747,IV,19.0,9.0,171.0,4,2,0,0,0,0,1,1,1,0.0,0.0,0,0,1,0,0,0,0,9,8,1987,0,6,occupation,6,250500
studio,cite_sic,douala,4.060964,9.72874,III,5.0,5.0,25.0,1,1,1,0,0,1,1,1,1,0.0,0.0,0,0,0,0,1,1,1,7,3,1976,0,5,none,1,123000
studio,akwa,douala,4.049016,9.695307,IV,6.0,6.0,36.0,1,1,1,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,5,6,1983,0,10,occupation,2,91000
store,olembe,yaounde,3.94542,11.492606,II,20.0,10.0,200.0,0,0,0,0,1,1,1,1,0,0.0,11.0,4,0,1,1,0,1,0,9,8,1981,0,9,none,3,511500
house,biyem_assi,yaounde,3.854612,11.486048,III,15.0,14.0,210.0,3,1,0,1,1,1,0,0,0,0.0,0.0,0,0,1,0,0,0,1,4,8,2015,1,3,none,1,243500
house,ndogpassi,douala,4.090527,9.742398,III,10.0,6.0,60.0,4,3,0,0,0,1,0,0,0,0.0,0.0,0,0,1,1,0,0,0,5,7,1997,0,6,occupation,3,194000
studio,nlongkak,yaounde,3.860144,11.506556,III,4.0,4.0,16.0,1,1,0,1,0,1,1,0,0,0.0,0.0,0,0,1,1,1,0,1,5,5,1992,0,1,occupation,3,107500
apartment,ngousso,yaounde,3.893662,11.530427,III,14.0,8.0,112.0,5,1,1,0,1,1,1,0,1,0.0,0.0,0,0,1,1,1,0,0,8,7,2003,0,6,occupation,1,314500
office,nyalla,douala,4.102601,9.762032,I,26.0,6.0,156.0,0,1,0,0,0,1,1,1,1,30.0,17.0,2,0,0,1,1,1,0,10,8,1980,1,3,occupation,2,831500
house,ngousso,yaounde,3.898767,11.539123,III,7.0,16.0,112.0,3,2,0,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,10,3,2017,0,3,foncier,1,253000
office,akwa,douala,4.049351,9.699031,II,19.0,6.0,114.0,0,1,4,0,1,0,1,0,0,0.0,18.0,2,0,0,0,1,1,0,10,8,1992,0,2,foncier,6,687500
house,nlongkak,yaounde,3.868004,11.509916,II,15.0,17.0,255.0,3,2,0,0,1,1,1,0,0,0.0,0.0,0,0,1,1,0,1,0,3,7,2017,1,8,none,3,391000
apartment,bastos,yaounde,3.874848,11.510827,II,6.0,11.0,66.0,5,1,3,0,0,1,0,0,0,0.0,0.0,0,0,1,0,0,0,0,7,10,1975,0,1,occupation,1,431000
house,nkoldongo,yaounde,3.827469,11.489569,II,17.0,8.0,136.0,3,2,0,0,0,1,1,1,1,0.0,0.0,0,0,0,1,0,1,1,5,4,1992,0,9,foncier,3,289000
house,ekounou,yaounde,3.811893,11.550618,III,6.0,8.0,48.0,4,3,0,0,0,0,1,1,0,0.0,0.0,0,0,0,1,0,1,1,10,7,1992,0,10,foncier,3,197000
studio,nkol_foulou,yaounde,3.82228,11.482195,II,8.0,5.0,40.0,1,1,2,0,0,1,0,0,1,0.0,0.0,0,0,0,1,1,1,0,4,5,2002,0,3,occupation,2,132500
house,omnisport,yaounde,3.865323,11.5225,III,10.0,6.0,60.0,4,1,0,0,1,0,1,0,0,0.0,0.0,0,0,1,0,0,0,0,9,4,1990,0,5,none,3,250500
house,nyalla,douala,4.095751,9.759207,IV,19.0,10.0,190.0,5,2,0,0,0,1,0,0,1,0.0,0.0,0,0,1,1,0,1,0,5,6,1996,0,3,none,6,241000
apartment,cite_sic,douala,4.068849,9.721384,I,6.0,9.0,54.0,3,1,4,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,4,8,2007,0,5,none,1,221000
house,logpom,douala,4.080607,9.720047,V,12.0,17.0,204.0,3,3,0,1,1,1,0,1,1,0.0,0.0,0,0,1,0,1,0,0,9,9,2001,0,4,foncier,6,219000
apartment,odza,yaounde,3.926568,11.563459,V,14.0,4.0,56.0,2,2,2,0,1,1,1,0,0,0.0,0.0,0,0,1,0,0,0,1,8,8,2003,0,1,occupation,2,118000
apartment,ngousso,yaounde,3.89379,11.534274,III,10.0,10.0,100.0,2,2,4,1,1,1,0,0,1,0.0,0.0,0,0,1,1,0,1,1,8,3,2013,0,8,occupation,2,217000
apartment,odza,yaounde,3.928482,11.561394,III,15.0,10.0,150.0,2,2,2,0,0,1,1,1,0,0.0,0.0,0,0,1,1,0,0,0,6,8,2018,0,9,occupation,3,256500
office,melen,yaounde,3.913774,11.537757,II,21.0,14.0,294.0,0,1,0,0,1,0,1,0,1,20.0,5.0,0,0,0,1,1,0,0,9,3,1975,0,2,occupation,2,949500
studio,nlongkak,yaounde,3.86018,11.512586,III,5.0,3.0,15.0,1,1,0,0,0,1,1,0,1,0.0,0.0,0,0,1,1,0,0,0,4,4,1994,0,10,occupation,1,104000
store,nkoldongo,yaounde,3.828885,11.485069,III,8.0,12.0,96.0,0,0,0,0,1,1,1,1,0,0.0,13.0,0,1,1,1,1,0,0,4,10,1999,0,3,occupation,3,271500
apartment,nlongkak,yaounde,3.86225,11.512388,IV,12.0,4.0,48.0,2,2,4,0,1,1,1,0,1,0.0,0.0,0,0,1,1,0,0,1,8,5,1996,0,5,none,3,189000
land,nyalla,douala,4.103885,9.757545,IV,53.0,6.0,318.0,0,0,0,0,1,1,1,0,1,0.0,0.0,0,0,0,1,0,0,0,10,8,2020,0,3,none,3,83000
store,essos,yaounde,3.880888,11.530754,IV,6.0,8.0,48.0,0,0,0,0,0,1,1,1,1,0.0,3.0,4,0,1,1,0,0,0,4,4,2024,0,3,occupation,1,121500
warehouse,ngousso,yaounde,3.890507,11.534487,II,25.0,19.0,475.0,0,0,0,0,1,1,1,0,1,20.0,14.0,4,0,0,1,0,0,1,7,5,1987,1,10,foncier,1,515500
house,odza,yaounde,3.927297,11.559525,III,19.0,12.0,228.0,2,3,0,0,1,1,1,1,1,0.0,0.0,0,0,1,1,0,0,0,10,4,1997,0,5,none,6,267500
land,bonaberi,douala,4.05479,9.657573,I,39.0,16.0,624.0,0,0,0,0,0,1,1,0,1,0.0,0.0,0,0,1,0,0,0,0,4,3,1994,0,9,occupation,1,106000
house,cite_sic,douala,4.062211,9.721086,I,17.0,12.0,204.0,4,1,0,0,1,0,1,1,0,0.0,0.0,0,0,0,1,0,0,0,9,7,1975,1,10,occupation,3,360000
land,nkol_foulou,yaounde,3.823808,11.480794,IV,44.0,32.0,1408.0,0,0,0,0,1,0,1,0,1,0.0,0.0,0,0,0,0,0,0,0,3,5,1976,1,2,occupation,3,174500
apartment,akwa,douala,4.046769,9.700998,V,12.0,6.0,72.0,4,1,2,1,0,1,0,1,1,0.0,0.0,0,0,1,0,1,0,0,7,8,2000,0,7,foncier,3,187500
house,nyalla,douala,4.101605,9.763877,III,20.0,6.0,120.0,5,1,0,1,1,1,1,0,0,0.0,0.0,0,0,1,1,0,0,0,6,6,1981,0,6,foncier,3,241500
house,olembe,yaounde,3.949942,11.491668,III,21.0,9.0,189.0,4,1,0,1,0,1,1,1,1,0.0,0.0,0,0,1,1,0,0,0,6,6,1995,0,4,occupation,3,246500
office,ngousso,yaounde,3.898062,11.535427,IV,12.0,6.0,72.0,0,1,5,0,0,1,1,1,0,0.0,12.0,1,0,0,0,0,0,0,7,3,2001,0,2,foncier,3,302000
store,bastos,yaounde,3.874815,11.514987,V,20.0,12.0,240.0,0,0,0,0,1,1,1,1,0,0.0,10.0,4,1,1,1,0,0,0,8,10,1998,1,1,occupation,3,545500
apartment,omnisport,yaounde,3.868807,11.518841,III,11.0,8.0,88.0,2,2,2,0,1,1,1,0,0,0.0,0.0,0,0,1,1,0,1,1,8,10,1984,0,10,occupation,2,326500
apartment,nkoldongo,yaounde,3.832728,11.485263,V,10.0,4.0,40.0,3,2,1,0,0,0,1,0,1,0.0,0.0,0,0,0,0,1,1,1,10,5,1999,0,8,occupation,3,117500
studio,akwa,douala,4.047939,9.701184,II,8.0,3.0,24.0,1,1,0,0,1,1,1,1,1,0.0,0.0,0,0,1,0,0,0,0,8,3,1995,0,4,none,6,158000
apartment,bonanjo,douala,4.043369,9.692334,III,12.0,6.0,72.0,2,1,1,1,0,0,1,0,1,0.0,0.0,0,0,0,1,0,1,0,4,5,1996,0,2,occupation,2,236000
land,yassa,douala,4.025629,9.781522,III,25.0,48.0,1200.0,0,0,0,0,1,0,1,0,1,0.0,0.0,0,0,1,0,0,0,0,3,3,1981,1,6,occupation,1,116000
apartment,nkol_foulou,yaounde,3.818172,11.479777,IV,8.0,9.0,72.0,3,2,5,0,1,1,1,1,1,0.0,0.0,0,0,1,0,0,0,0,8,7,2012,0,6,occupation,3,185000
house,mvog_mbi,yaounde,3.85309,11.509748,II,8.0,11.0,88.0,4,2,0,0,1,1,1,0,0,0.0,0.0,0,0,1,1,0,1,0,10,9,2013,0,10,occupation,6,293000
warehouse,nyalla,douala,4.10132,9.762169,III,40.0,21.0,840.0,0,0,0,0,1,0,1,0,1,10.0,5.0,2,0,1,0,0,1,1,6,10,1993,0,9,occupation,6,565000
house,deido,douala,4.062052,9.714688,V,19.0,14.0,266.0,3,2,0,0,1,0,0,0,0,0.0,0.0,0,0,0,1,0,1,1,9,9,2011,0,9,occupation,6,243500
studio,nlongkak,yaounde,3.868902,11.509545,IV,8.0,3.0,24.0,1,1,1,0,1,0,1,0,1,0.0,0.0,0,0,0,0,0,1,1,7,7,2023,0,10,foncier,3,131000
house,ngousso,yaounde,3.898997,11.53001,II,15.0,13.0,195.0,3,1,0,0,0,1,1,1,1,0.0,0.0,0,0,0,0,0,1,1,7,4,1994,0,5,occupation,3,325000
apartment,nkoldongo,yaounde,3.826251,11.483828,IV,7.0,11.0,77.0,2,2,2,0,0,0,0,0,1,0.0,0.0,0,0,1,1,0,1,0,6,9,1985,0,4,none,3,142500
